cik,year
0001133416,2017
0001133416,2018
0001133416,2019
0001133416,2020
0001133416,2021
0001133416,2022
0001563577,2018
0001563577,2019
0001563577,2020
0001563577,2021
0001563577,2022
0000064472,2008
0000064472,2009
0000064472,2010
0000064472,2011
0000064472,2012
0000064472,2013
0000064472,2014
0000924383,2009
0000924383,2010
0000924383,2011
0000924383,2012
0000924383,2013
0000924383,2014
0000924383,2015
0001474735,2010
0001474735,2011
0001474735,2012
0001474735,2013
0001474735,2014
0001474735,2015
0001474735,2016
0000040533,2007
0000040533,2008
0000040533,2009
0000040533,2010
0000040533,2011
0000040533,2012
0000040533,2013
0000040545,2007
0000040545,2008
0000040545,2009
0000040545,2010
0000040545,2011
0000040545,2012
0000040545,2013
0000040545,2014
0000040545,2015
0000040545,2016
0000040545,2017
0000040545,2018
0000040545,2019
0000040545,2020
0000040545,2021
0000040545,2022
0001467858,2007
0001467858,2008
0001467858,2009
0001467858,2010
0001467858,2011
0001467858,2012
0001467858,2013
0000018498,2010
0000018498,2011
0000018498,2012
0000018498,2013
0000018498,2014
0000018498,2015
0000018498,2016
0000018498,2017
0001487371,2016
0001487371,2017
0001487371,2018
0001487371,2019
0001487371,2020
0001131324,2013
0001131324,2014
0001131324,2015
0001131324,2016
0001131324,2017
0001131324,2018
0000040987,2013
0000040987,2014
0000040987,2015
0000040987,2016
0000040987,2017
0000040987,2018
0000040987,2019
0000934473,2013
0000934473,2014
0000934473,2015
0000934473,2016
0000732485,2006
0000732485,2007
0000732485,2008
0000732485,2009
0000732485,2010
0001001115,2008
0001001115,2009
0001001115,2010
0001001115,2011
0001001115,2012
0001001115,2013
0001001115,2014
0000886744,2013
0000886744,2014
0000886744,2015
0000886744,2016
0000886744,2017
0000886744,2018
0000886744,2019
0000886744,2020
0000886744,2021
0000886744,2022
0001392380,2012
0001392380,2013
0001392380,2014
0001392380,2015
0001392380,2016
0001392380,2017
0001392380,2018
0001392380,2019
0001392380,2020
0001392380,2021
0001392380,2022
0000882095,2010
0000882095,2011
0000882095,2012
0000882095,2013
0000882095,2014
0000882095,2015
0000882095,2016
0001629137,2013
0001629137,2014
0001629137,2015
0001629137,2016
0001629137,2017
0001629137,2018
0001629137,2019
0001629137,2020
0001629137,2021
0001237831,2012
0001237831,2013
0001237831,2014
0001237831,2016
0001237831,2017
0001237831,2018
0001237831,2019
0001237831,2020
0001237831,2021
0001237831,2022
0000042228,2008
0000042228,2009
0000042228,2010
0000042228,2011
0000042228,2012
0000042228,2013
0000042228,2014
0000042228,2015
0000042228,2016
0001500435,2018
0001500435,2019
0001500435,2020
0001500435,2021
0001500435,2022
0000042682,2010
0000042682,2011
0000042682,2012
0000042682,2013
0000042682,2014
0000042682,2015
0000042682,2016
0000042682,2017
0000042682,2018
0001728117,2018
0001728117,2019
0001728117,2020
0001728117,2021
0001728117,2022
0000042888,2014
0000042888,2015
0000042888,2016
0000042888,2017
0000042888,2018
0000042888,2019
0000042888,2020
0000931148,2009
0000931148,2010
0000931148,2011
0000931148,2012
0000931148,2013
0000931148,2014
0000931148,2015
0000931148,2016
0000931148,2017
0000931148,2018
0000931148,2019
0000931148,2020
0000931148,2021
0000931148,2022
0001309402,2009
0001309402,2010
0001309402,2011
0001309402,2012
0001309402,2013
0001309402,2014
0001309402,2015
0001309402,2016
0001309402,2017
0001309402,2018
0000923120,2015
0000923120,2016
0000923120,2017
0000923120,2018
0000923120,2019
0000923120,2020
0000923120,2021
0001656634,2018
0001656634,2019
0001656634,2020
0001656634,2021
0001656634,2022
0001031203,2016
0001031203,2017
0001031203,2018
0001031203,2019
0001031203,2020
0001031203,2021
0001031203,2022
0001490281,2011
0001490281,2012
0001490281,2013
0001490281,2014
0001490281,2015
0001490281,2016
0001490281,2017
0001915657,2010
0001915657,2011
0001915657,2012
0001915657,2013
0001915657,2014
0001915657,2015
0001915657,2016
0001915657,2017
0001915657,2018
0001915657,2019
0001915657,2020
0001915657,2021
0001915657,2022
0001339605,2011
0001339605,2012
0001339605,2013
0001339605,2014
0001339605,2015
0001339605,2016
0001339605,2017
0001339605,2018
0001339605,2019
0001339605,2020
0001339605,2021
0001339605,2022
0001573097,2013
0001573097,2014
0001573097,2015
0001573097,2016
0001573097,2017
0001573097,2018
0001573097,2019
0001573097,2020
0000313143,2015
0000313143,2016
0000313143,2017
0000313143,2018
0000313143,2019
0000313143,2020
0000313143,2021
0001159036,2012
0001159036,2013
0001159036,2014
0001159036,2015
0001159036,2016
0001159036,2017
0001159036,2018
0001159036,2019
0001159036,2020
0001159036,2021
0001159036,2022
0000793952,2007
0000793952,2008
0000793952,2009
0000793952,2010
0000793952,2011
0000793952,2012
0000793952,2013
0000793952,2014
0000793952,2015
0000793952,2016
0000793952,2017
0000793952,2018
0000793952,2019
0000793952,2020
0000793952,2021
0000793952,2022
0000800459,2014
0000800459,2015
0000800459,2016
0000851310,2008
0000851310,2009
0000851310,2010
0000851310,2011
0000851310,2012
0000851310,2013
0000851310,2014
0000851310,2015
0000851310,2016
0000851310,2017
0000851310,2018
0000851310,2019
0000851310,2020
0000851310,2021
0000851310,2022
0000045876,2007
0000045876,2008
0000045876,2009
0000045876,2010
0000045876,2011
0000045876,2012
0000045876,2013
0001123494,2016
0001123494,2017
0001123494,2018
0001123494,2019
0001123494,2020
0001123494,2021
0001123494,2022
0000046080,2010
0000046080,2011
0000046080,2012
0000046080,2013
0000046080,2014
0000046080,2015
0000046080,2016
0000046080,2018
0000046080,2019
0000046080,2020
0000046080,2021
0000046080,2022
0001389072,2008
0001389072,2009
0001389072,2010
0001389072,2011
0001389072,2012
0001389072,2013
0001389072,2014
0001389072,2015
0000046619,2011
0000046619,2012
0000046619,2013
0000046619,2014
0000046619,2015
0000046619,2016
0000046619,2017
0000046619,2018
0000818033,2013
