cik,year
0001356090,2014
0001356090,2015
0001356090,2016
0001356090,2017
0001356090,2018
0001356090,2019
0001356090,2020
0001356090,2021
0001356090,2022
0000079958,2007
0000079958,2008
0000079958,2009
0000079958,2010
0000079958,2011
0000079958,2012
0000079958,2013
0001446159,2018
0001446159,2019
0001446159,2020
0001446159,2021
0001446159,2022
0000080035,2008
0000080035,2009
0000080035,2010
0000080035,2011
0000080035,2012
0000080035,2013
0000080035,2014
0000080035,2015
0000080035,2016
0000080035,2017
0000080035,2018
0000080035,2019
0001365101,2008
0001365101,2009
0001365101,2010
0001365101,2011
0001365101,2012
0001365101,2013
0001365101,2014
0001165231,2008
0001165231,2009
0001165231,2010
0001165231,2011
0001165231,2012
0001165231,2013
0001165231,2014
0001588978,2019
0001588978,2020
0001588978,2021
0001588978,2022
0000835887,2012
0000835887,2013
0000835887,2014
0000835887,2015
0000835887,2016
0000835887,2017
0000835887,2018
0000835887,2019
0001377121,2015
0001377121,2016
0001377121,2017
0001377121,2018
0001377121,2019
0001377121,2020
0001377121,2021
0001377121,2022
0001443669,2016
0001443669,2017
0001443669,2018
0001443669,2019
0001443669,2020
0001443669,2021
0001443669,2022
0000315545,2013
0000315545,2014
0000315545,2015
0000315545,2016
0000315545,2017
0000315545,2018
0000315545,2019
0000315545,2020
0000315545,2021
0001127537,2020
0001127537,2021
0001127537,2022
0001401667,2014
0001401667,2015
0001401667,2016
0001401667,2017
0001401667,2018
0001401667,2019
0001401667,2020
0001401667,2021
0001474432,2014
0001474432,2015
0001474432,2016
0001474432,2017
0001474432,2018
0000081362,2016
0000081362,2017
0000081362,2018
0000081362,2019
0000081362,2020
0000081362,2021
0000081362,2022
0001604778,2015
0001604778,2016
0001604778,2017
0001604778,2018
0001604778,2019
0001604778,2020
0001604778,2021
0001604778,2022
0001423221,2015
0001423221,2016
0001423221,2017
0001423221,2018
0001423221,2019
0001423221,2020
0001423221,2021
0001423221,2022
0001503274,2018
0001503274,2019
0001503274,2020
0001503274,2021
0001503274,2022
0000709283,2018
0000709283,2019
0000709283,2020
0000709283,2021
0000709283,2022
0000891288,2008
0000891288,2009
0000891288,2010
0000891288,2011
0000891288,2012
0000891288,2013
0001481512,2015
0001481512,2016
0001481512,2017
0001481512,2018
0001481512,2019
0000935419,2010
0000935419,2011
0000935419,2012
0000935419,2013
0000935419,2014
0000935419,2015
0000935419,2016
0000935419,2017
0000935419,2018
0001687221,2020
0001687221,2021
0001687221,2022
0000740664,2009
0000740664,2010
0000740664,2011
0000740664,2012
0000740664,2013
0000740664,2014
0000740664,2015
0001528849,2012
0001528849,2013
0001528849,2014
0001528849,2015
0001528849,2016
0000110621,2015
0000110621,2016
0000110621,2017
0000110621,2018
0000110621,2019
0000110621,2020
0000110621,2021
0000873044,2015
0000873044,2016
0000873044,2017
0001428522,2013
0001428522,2014
0001428522,2015
0001428522,2016
0001428522,2017
0001428522,2018
0001428522,2019
0001428522,2020
0001428522,2021
0001713863,2018
0001713863,2019
0001713863,2020
0001713863,2021
0001713863,2022
0001380106,2019
0001380106,2020
0001380106,2021
0001380106,2022
0001673772,2018
0001673772,2019
0001673772,2020
0001673772,2021
0001673772,2022
0001070698,2012
0001070698,2013
0001070698,2014
0001070698,2015
0000082166,2013
0000082166,2014
0000082166,2015
0000082166,2016
0000082166,2017
0000082166,2018
0000082166,2019
0000082166,2020
0000082166,2021
0001597672,2014
0001597672,2015
0001597672,2016
0001597672,2017
0001597672,2018
0001597672,2019
0001597672,2020
0001324948,2010
0001324948,2011
0001324948,2012
0001324948,2013
0001324948,2014
0001324948,2016
0001324948,2017
0001324948,2018
0001324948,2019
0001324948,2020
0001324948,2021
0001324948,2022
0001425565,2006
0001425565,2007
0001425565,2008
0001425565,2009
0001425565,2010
0001425565,2011
0001425565,2012
0001425565,2013
0001425565,2014
0001425565,2015
0001327471,2009
0001327471,2010
0001327471,2011
0001327471,2012
0001327471,2013
0001327471,2014
0001327471,2015
0001358762,2013
0001358762,2014
0001358762,2015
0001358762,2016
0001358762,2017
0001358762,2018
0001358762,2019
0001358762,2020
0001358762,2021
0001588972,2015
0001588972,2016
0001588972,2017
0001588972,2018
0001588972,2019
0001588972,2020
0001588972,2021
0001171759,2014
0001171759,2015
0001171759,2016
0001171759,2017
0001171759,2018
0001171759,2019
0001171759,2020
0001140215,2015
0001140215,2016
0001140215,2017
0001140215,2018
0001140215,2019
0001140215,2020
0001140215,2021
0001590877,2015
0001590877,2016
0001590877,2017
0001590877,2018
0001590877,2019
0001590877,2020
0001590877,2021
0001590877,2022
0001505512,2013
0001505512,2014
0001505512,2015
0001505512,2016
0001505512,2017
0001505512,2018
0001505512,2019
0001505512,2020
0001505512,2021
0001505512,2022
0000861884,2009
0000861884,2010
0000861884,2011
0000861884,2012
0000861884,2013
0000861884,2014
0000861884,2015
0000861884,2016
0000861884,2017
0000861884,2018
0000861884,2019
0000861884,2020
0000861884,2021
0000861884,2022
0001046859,2011
0001046859,2012
0001046859,2013
0001046859,2014
0001463258,2009
0001463258,2010
0001463258,2011
0001463258,2012
0001463258,2013
0001463258,2014
0001463258,2015
0000730272,2008
0000730272,2009
0000730272,2010
0000730272,2011
0000730272,2012
0000730272,2013
0000730272,2014
0000730272,2015
0000730272,2016
0000730272,2017
0000730272,2018
0000730272,2019
0000730272,2020
0000730272,2021
0000730272,2022
0000897075,2013
0000897075,2014
0000897075,2015
0000897075,2016
0000943819,2011
0000943819,2012
0000943819,2013
0000943819,2014
0000943819,2015
0000943819,2016
