filename,base_name,success,sections_extracted,sections_cleaned,item_1_length,item_1a_length,item_7_length
0000320187_2017_10K.html,0000320187_2017_10K,False,0,0,,,
0000039911_2017_10K.html,0000039911_2017_10K,False,0,0,,,
0001089063_2017_10K.html,0001089063_2017_10K,False,0,0,,,
0000027419_2017_10K.html,0000027419_2017_10K,False,0,0,,,
0000094845_2017_10K.html,0000094845_2017_10K,False,0,0,,,
0001018724_2017_10K.html,0001018724_2017_10K,False,0,0,,,
0001018840_2017_10K.html,0001018840_2017_10K,False,0,0,,,
0000794367_2017_10K.html,0000794367_2017_10K,True,3,3,13997.0,28154.0,69954.0
0000104169_2017_10K.html,0000104169_2017_10K,True,2,2,42702.0,98047.0,
0000850209_2017_10K.html,0000850209_2017_10K,False,0,0,,,
