filename,base_name,success,sections_extracted,sections_cleaned,item_1_length,item_1a_length,item_7_length
0000320187_2017_10K.html,0000320187_2017_10K,True,3,3,33129,65175,109762
0000039911_2017_10K.html,0000039911_2017_10K,True,3,3,16618,32955,45775
0001089063_2017_10K.html,0001089063_2017_10K,True,3,3,26864,31017,38276
0000027419_2017_10K.html,0000027419_2017_10K,True,3,3,8463,27573,36109
0000094845_2017_10K.html,0000094845_2017_10K,True,3,3,26982,48079,69506
0001018724_2017_10K.html,0001018724_2017_10K,True,3,3,12386,44048,52838
0001018840_2017_10K.html,0001018840_2017_10K,True,3,3,51745,41692,63272
0000794367_2017_10K.html,0000794367_2017_10K,True,3,3,144283,28154,70558
0000104169_2017_10K.html,0000104169_2017_10K,True,3,3,18013,53293,24998
0000850209_2017_10K.html,0000850209_2017_10K,True,3,3,35866,36107,78186
